2004     ;IMO_214_050                                       ;Masca birou                                                                                         ;Masca birou                                                                                         ;Masca birou                                                                                         ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2005     ;IMO_214_051                                       ;Obiecte iluminat - lampadar                                                                         ;Obiecte iluminat - lampadar                                                                         ;Obiecte iluminat - l                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2006     ;IMO_214_052                                       ;Obiecte iluminat - lampa                                                                            ;Obiecte iluminat - lampa                                                                            ;Obiecte iluminat - l                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2007     ;IMO_214_053                                       ;Obiecte iluminat - lustra                                                                           ;Obiecte iluminat - lustra                                                                           ;Obiecte iluminat - l                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2008     ;IMO_214_054                                       ;Paravan                                                                                             ;Paravan                                                                                             ;Paravan                                                                                             ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2009     ;IMO_214_055                                       ;Canapea                                                                                             ;Canapea                                                                                             ;Canapea                                                                                             ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2010     ;IMO_214_056                                       ;Banca                                                                                               ;Banca                                                                                               ;Banca                                                                                               ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2011     ;IMO_214_057                                       ;Masa laptop reglabila                                                                               ;Masa laptop reglabila                                                                               ;Masa laptop reglabil                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2012     ;IMO_214_058                                       ;Suport Laptop                                                                                       ;Suport Laptop                                                                                       ;Suport Laptop                                                                                       ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2013     ;IMO_214_059                                       ;Logo                                                                                                ;Logo                                                                                                ;Logo                                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2014     ;IMO_214_060                                       ;Aparat foto                                                                                         ;Aparat foto                                                                                         ;Aparat foto                                                                                         ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2015     ;IMO_214_061                                       ;Accesorii aparat foto                                                                               ;Accesorii aparat foto                                                                               ;Accesorii aparat fot                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2016     ;IMO_214_062                                       ;Instalare perete mobil                                                                              ;Instalare perete mobil                                                                              ;Instalare perete mob                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2017     ;IMO_214_063                                       ;Accesorii perete mobil                                                                              ;Accesorii perete mobil                                                                              ;Accesorii perete mob                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2018     ;IMO_214_064                                       ;Amenajare mobilier/aparatura                                                                        ;Amenajare mobilier/aparatura                                                                        ;Amenajare mobilier/a                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2019     ;IMO_214_065                                       ;Design                                                                                              ;Design                                                                                              ;Design                                                                                              ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2020     ;IMO_214_066                                       ;Cuier to reclass                                                                                    ;Cuier to reclass                                                                                    ;Cuier to reclass                                                                                    ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
